target_id	length	eff_length	est_counts	tpm
YP_081455.1	933	710.96	483	157.149
YP_081456.1	288	88.9594	0	0
YP_081457.1	336	125.678	0	0
YP_004940329.1	273	79.3305	453	1320.89
YP_004940330.1	144	19.5277	442	5235.77
YP_081458.1	513	291.764	2635	2089.09
YP_081459.1	705	482.999	36786	17617.5
YP_081460.1	1245	1022.96	0	0
YP_081461.1	882	659.982	0	0
YP_081462.1	657	435.044	0	0
YP_081463.1	180	32.459	871	6207.14
YP_081464.1	450	230.334	594	596.535
YP_081465.1	501	280.051	269827	222873
YP_081466.1	843	620.982	2872	1069.83
YP_081468.2	975	752.96	543.996	167.122
YP_081467.1	669	447.03	965.004	499.346
YP_081469.1	702	479.999	530	255.414
YP_081470.1	765	542.982	394	167.849
YP_081471.1	819	596.982	3572	1384.07
YP_081472.1	1422	1199.96	14992	2890.02
YP_081473.1	984	761.96	1961	595.325
YP_081474.1	309	104.319	144	319.305
YP_081475.1	693	471.014	6712	3296.3
YP_081476.1	315	108.895	9879	20985.2
YP_081477.1	1107	884.96	1566	409.333
YP_081478.1	297	95.5013	577	1397.57
YP_081479.1	1017	794.96	3849	1119.98
YP_081480.1	372	157.097	5007	7372.55
YP_081481.1	318	111.309	46211	96033.8
YP_081482.1	855	632.982	3289	1201.94
YP_081483.2	1077	854.96	6486	1754.85
YP_081484.1	1971	1748.96	14412	1906.13
YP_081485.1	567	345.21	2575	1725.45
YP_081486.1	1827	1604.96	3490	503.002
YP_081487.2	2103	1880.96	11639	1431.35
YP_081489.1	366	151.794	1313	2000.86
YP_007947989.1	240	59.8958	582	2247.68
YP_081490.1	1788	1565.96	12651	1868.76
YP_081491.1	3150	2927.96	9326	736.782
YP_081492.1	1239	1016.96	7590	1726.42
YP_081493.1	1224	1001.96	13436	3101.9
YP_081494.1	1926	1703.96	9052	1228.84
YP_081495.1	1431	1208.96	12829	2454.65
YP_081496.1	1467	1244.96	4055	753.432
YP_081497.1	996	773.96	7138	2133.37
YP_081498.1	666	444.044	24004	12504.5
YP_081499.1	237	58.2715	4466	17728.5
YP_081500.1	378	162.45	5634	8022.45
YP_081501.1	1272	1049.96	11282	2485.55
YP_081502.1	1302	1079.96	18502	3962.96
YP_081503.1	2721	2498.96	17215	1593.52
YP_081504.1	873	650.982	3198	1136.37
YP_081505.1	2952	2729.96	5345	452.898
YP_081506.1	6726	6503.96	30944	1100.54
YP_081507.1	228	53.4072	2083	9021.91
YP_081508.1	1713	1490.96	16013	2484.36
YP_081509.1	1197	974.96	5983	1419.52
YP_081510.1	474	253.639	3567	3253.08
YP_081511.1	2007	1784.96	9819	1272.47
YP_081512.1	1131	908.96	10523	2677.96
YP_081513.1	3729	3506.96	38600	2546.04
YP_081514.1	2724	2501.96	36704	3393.45
YP_081515.1	2553	2330.96	13537	1343.37
YP_081516.1	3708	3485.96	4803	318.712
YP_081517.1	2229	2006.96	9022	1039.85
YP_081518.1	2841	2618.96	4788	422.896
YP_081519.1	1086	863.96	4429	1185.83
YP_081520.1	1167	944.96	6272	1535.33
YP_081521.1	408	190.127	5579	6787.66
YP_081522.1	1419	1196.96	1576	304.569
YP_002802310.2	213	46.6364	6418	31833.4
YP_081523.1	2229	2006.96	19709	2271.61
YP_081524.1	978	755.96	2625.16	803.279
YP_081525.1	1911	1688.96	4406.84	603.554
YP_081526.1	1296	1073.96	184588	39757.9
YP_081527.1	888	665.96	3321	1153.53
YP_081528.1	2127	1904.96	7415.13	900.412
YP_081529.1	1122	899.96	8040.87	2066.75
YP_081530.1	1680	1457.96	5299	840.731
YP_081531.1	1686	1463.96	4827	762.705
YP_081532.1	1764	1541.96	33507	5026.56
YP_081533.1	921	698.96	2033	672.812
YP_081534.1	4113	3890.96	6134	364.666
YP_081535.1	2826	2603.96	9422	836.984
YP_081536.1	1290	1067.96	4897	1060.68
YP_081537.1	2025	1802.96	10997	1410.9
YP_081538.1	336	125.678	1884	3467.61
YP_081539.1	606	384.124	2806	1689.76
YP_081540.1	1785	1562.96	11729.5	1735.96
YP_081541.1	1038	815.96	17173.5	4868.55
YP_081542.1	1602	1379.96	13907	2331.18
YP_081543.1	384	167.817	4572	6301.99
YP_081544.1	2124	1901.96	29150	3545.24
YP_081545.1	1755	1532.96	25380.2	3829.76
YP_081546.1	573	351.21	9304.85	6128.45
YP_081547.1	1116	893.96	5116	1323.8
YP_081548.1	2622	2399.96	11687	1126.44
YP_081549.1	750	527.982	1636	716.758
YP_081550.1	2094	1871.96	2522.49	311.704
YP_081551.1	2871	2648.96	25039.5	2186.55
YP_081552.1	531	309.555	8165	6101.37
YP_081553.1	2055	1832.96	24739	3122.03
YP_081554.1	753	530.982	2141	932.707
YP_081555.1	837	614.982	5246	1973.22
YP_081556.1	942	719.96	11489	3691.33
YP_081557.1	1278	1055.96	8699	1905.59
YP_081558.1	1038	815.96	10296	2918.83
YP_081559.1	606	384.124	758	456.463
YP_081560.1	543	321.418	302	217.343
YP_081561.1	1743	1520.96	7053.97	1072.81
YP_081562.1	1476	1253.96	16839	3106.29
YP_081563.1	453	233.264	632	626.725
YP_081565.1	645	423.044	1891	1033.98
YP_081566.1	390	173.272	713	951.851
YP_081567.1	813	590.982	40650	15910.9
YP_081568.1	951	728.96	18299	5806.74
YP_081569.1	228	53.4072	4103	17770.9
YP_081570.1	480	259.528	1638	1459.95
YP_081571.1	363	149.102	0	0
YP_081572.1	393	176.011	16252	21358.8
YP_081573.1	531	309.555	27228	20346.4
YP_081574.1	918	695.96	325	108.021
YP_081575.1	1017	794.96	5376	1564.31
YP_081576.1	576	354.198	1742	1137.65
YP_081577.1	417	198.601	2023	2356.26
YP_081578.1	510	288.861	10036	8036.74
YP_081579.1	723	500.999	10510	4852.6
YP_081580.1	927	704.96	8599	2821.58
YP_081581.1	774	551.982	9341	3914.51
YP_081582.1	243	61.5361	1809	6800.13
YP_081583.1	243	61.5361	2700	10149.4
YP_081584.1	234	56.6022	2161	8831.41
YP_081585.1	189	36.3152	2268	14446.5
YP_081586.1	1920	1697.96	19507.3	2657.53
YP_004940331.1	816	593.982	12041.7	4689.47
YP_081587.1	2544	2321.96	0	0
YP_081588.1	471	250.698	0	0
YP_081589.1	600	378.137	321	196.365
YP_081590.1	561	339.221	0	0
YP_081591.1	549	327.31	0	0
YP_081592.1	678	456.014	999	506.752
YP_081593.1	684	462.014	7258	3633.87
YP_081594.1	744	521.982	6838	3030.28
YP_081595.1	558	336.244	2763	1900.79
YP_081596.1	648	426.044	4216	2289.04
YP_081597.1	846	623.982	25066	9292.26
YP_081598.1	786	563.982	12108	4966.1
YP_081599.1	933	710.96	17437	5673.29
YP_081600.1	789	566.982	7216	2943.99
YP_081601.1	930	707.96	10582	3457.54
YP_081602.1	882	659.982	2606	913.379
YP_081603.1	825	602.982	31120	11938.3
YP_081604.1	723	500.999	13884	6410.42
YP_081605.1	765	542.982	19974	8509.19
YP_081606.1	732	509.982	1640	743.871
YP_081607.1	1731	1508.96	20789	3186.87
YP_081608.1	1779	1556.96	10607	1575.88
YP_081609.1	1506	1283.96	7490	1349.39
YP_081610.1	1812	1589.96	18882	2747.07
YP_081611.1	1095	872.96	14572	3861.3
YP_081612.1	1065	842.96	68728	18859.7
YP_081613.1	1389	1166.96	3282.96	650.756
YP_081614.1	1050	827.96	11389	3181.9
YP_081615.1	486	265.405	4727	4119.88
YP_081616.1	552	330.288	4602	3223.01
YP_004940332.1	174	30.0636	3455	26583.7
YP_081617.1	492	271.208	33236	28347.5
YP_081618.1	195	38.7002	2244	13412.8
YP_081619.1	2367	2144.96	5607	604.672
